NÚMERO;ESTACIÓN;DIRECCIÓN;LONGITUD;LATITUD;ALTITUD
4;Pza. de España;Plaza de España;3º 42' 44,09''O;40º 25' 25,87''N;635
8;Escuelas Aguirre;Entre C/ Alcalá y C/ O’ Donell ;3º 40' 56,35''O;40º 25' 17,63''N;670
11;Avda. Ramón y Cajal;Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara;3º 40' 38,48''O;40º 27' 05,31''N;708
16;Arturo Soria;C/ Arturo Soria  esq. C/  Vizconde de los Asilos ;3º 38' 21,24''O;40º 26' 24,17''N;693
17;Villaverde;C/. Juan Peñalver;3º 42' 47,96''O;40º 20' 49,70''N;604
18;Farolillo;Calle Farolillo - C/Ervigio;3º 43' 54,67''O;40º 23' 41,21''N;630
24;Casa de Campo;Casa de Campo  (Terminal del Teleférico);3º 44' 50,45''O;40º 25' 09,68''N;642
27;Barajas Pueblo;C/. Júpiter, 21 (Barajas) ;3º 34' 48,11''O;40º 28' 36,94''N;621
35;Pza. del Carmen;Plaza del Carmen esq. Tres Cruces. ;"3º 42' 11,42""O";40º 25' 9,15''N;659
36;Moratalaz;Avd. Moratalaz  esq. Camino de los Vinateros;3º 38' 43,10''O;40º 24' 28,61''N;685
38;Cuatro Caminos;Avda. Pablo Iglesias esq. C/ Marqués de Lema;3º 42' 25,66''O;40º 26' 43,96''N;698
39;Barrio del Pilar;Avd. Betanzos esq. C/  Monforte de Lemos ;3º 42' 41,55''O;40º 28' 41,62''N;674
40;Vallecas;C/ Arroyo del Olivar  esq. C/  Río Grande. ;3º 39' 05,48''O;40º 23' 17,35''N;677
47;Mendez Alvaro;C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro;3º 41' 12,57'O;40º 23' 53,21''N;599
48;Castellana;C/ Jose Gutierrez Abascal;3º 41' 25,32'O;40º 26' 23,63''N;676
49;Parque del Retiro;Paseo Venezuela- Casa de Vacas;3º 40' 57,3''O;40º 24' 52''N;662
50;Plaza Castilla;Plaza Castilla (Canal);3º 41' 19,57''O;40º 27' 56,06''N;728
54;Ensanche de Vallecas;Avda La Gavia / Avda. Las Suertes;3º 36' 43,62'O;40º 22' 22,56''N;627
55;Urb. Embajada;C/ Riaño (Barajas) ;3º 34' 50,69''O;40º 27' 45,11''N;618
56;Pza. Fernández Ladreda; Pza. Fernández Ladreda - Avda. Oporto;3º 43' 07,42''O;40º 23' 05,87''N;604
57;Sanchinarro;C/ Princesa de Eboli esq C/ Maria Tudor;3º 39' 37,81'O;40º 29' 39,15''N;700
58;El Pardo;Avda. La Guardia;"3º 46' 28,60""O";40º 31' 05,01''N;615
59;Juan Carlos I;Parque Juan Carlos I (frente oficinas mantenimiento);"3º 36' 32,66""O";40º 27' 54,90''N;660
60;Tres Olivos;Plaza Tres Olivos ;"3º 41' 23,14""O";40º 30' 02,12''N;715
